customer_id,first_name,last_name,email,phone,date_of_birth,gender,country,city,registration_date,is_active,customer_segment
1,Michelle,Anderson,user1_kristy39@yahoo.com,9249026811,1995-08-21,M,DE,South Williamton,2025-09-10T12:38:58.173454,True,At Risk
2,Regina,Hopkins,user2_stephen00@yahoo.com,(761)877-1159x2124,2008-03-14,Other,AU,Shawnchester,2023-10-23T08:16:15.645567,True,Regular
3,Jacqueline,Farrell,user3_russellbeasley@yahoo.com,376-361-5654x52711,1975-07-24,F,DE,Lisaside,2023-09-10T09:29:04.061685,False,Occasional
4,Sue,Hoffman,user4_jenkinsmorgan@yahoo.com,001-304-794-5198x327,1999-07-18,F,FR,Dannyview,2025-03-26T17:24:28.376860,True,Premium
5,Lindsay,Bruce,user5_lynchdiane@hotmail.com,302-444-5502x296,1993-06-27,Other,DE,North Julieborough,2024-08-21T21:01:56.064721,True,Regular
6,Shawn,Moore,user6_jennifer99@gmail.com,9229901476,1974-07-14,F,DE,Port William,2024-07-18T21:15:01.313956,False,At Risk
7,Daniel,Gregory,user7_trose@gmail.com,669.600.3432,1969-07-17,M,UK,South Julieburgh,2023-11-25T05:22:45.505029,True,Premium
8,Amanda,Hall,user8_charles06@gmail.com,715.496.9664x160,1996-12-27,F,US,Collierstad,2023-10-11T05:43:24.905693,True,Regular
9,Megan,Sanchez,user9_zwarren@yahoo.com,001-453-552-1818x835,1956-06-21,F,FR,Jamesberg,2025-10-16T15:43:50.541288,True,Occasional
10,Diana,Thompson,user10_kmarshall@hotmail.com,299.755.2717x744,1979-12-08,F,IN,Steventon,2023-09-07T00:12:05.532178,True,At Risk
11,Marie,Jones,user11_gilbertwilliam@yahoo.com,001-480-279-3597,1976-08-22,M,AU,Toniland,2025-01-09T12:24:24.645348,True,At Risk
12,Gerald,Wright,user12_hritter@hotmail.com,+1-725-354-6659x051,1982-11-15,M,DE,Mitchellberg,2024-07-05T22:39:29.291434,True,Regular
13,Brandi,Thomas,user13_kyle62@hotmail.com,001-214-786-5281x685,1968-06-04,M,CA,West Stacey,2024-12-20T11:44:36.047117,True,At Risk
14,Jeremy,Taylor,user14_phillipskristin@hotmail.com,001-988-205-9296x222,1974-05-05,F,IN,South Cheryl,2025-10-08T01:58:38.954997,True,Premium
15,Kristen,Young,user15_kylestokes@yahoo.com,859.477.4688,1997-11-21,F,FR,Port John,2025-06-08T05:24:10.251972,True,New
16,Morgan,Spencer,user16_dawsonzachary@gmail.com,812-247-8261x3750,1973-07-03,Other,FR,Joeland,2024-08-20T11:19:34.279536,True,Regular
17,Anthony,Galvan,user17_lacey20@yahoo.com,827.379.0104x3289,1995-07-13,F,DE,West David,2024-03-23T22:27:19.081588,True,Occasional
18,Danielle,Dean,user18_rodriguezrebecca@hotmail.com,+1-708-593-2460,1983-08-11,Other,IN,Lake Elizabeth,2025-01-30T06:21:36.551111,True,At Risk
19,Michael,Ashley,user19_myerstheodore@hotmail.com,(754)705-1531x9520,1997-09-11,F,IN,Port Kimberly,2024-11-26T18:27:34.683241,True,Regular
20,Heather,Welch,user20_bryanparsons@yahoo.com,8439030548,1965-03-15,Other,AU,West Michael,2025-11-08T06:08:42.710399,True,At Risk
21,Michelle,Rivera,user21_lloydsamuel@yahoo.com,001-876-452-7758x416,1982-02-23,M,CA,Curtismouth,2025-06-29T20:30:56.511487,True,At Risk
22,Kirk,Morrison,user22_cjackson@yahoo.com,205.496.4016x582,1999-09-26,F,FR,Johnsonland,2024-03-21T06:10:53.591711,True,Regular
23,Deanna,Cox,user23_jacobserika@yahoo.com,(271)492-8565x431,1979-06-16,F,US,Mcintyreville,2024-04-18T12:09:32.715486,False,New
24,Jorge,Griffin,user24_heather73@gmail.com,(617)627-1551,1999-11-22,F,IN,Port Michael,2024-03-08T09:05:22.903094,False,At Risk
25,Tracie,Conner,user25_kristyjohnson@hotmail.com,001-857-982-9114,1980-12-31,M,DE,Morrowland,2023-11-20T23:54:01.024842,True,Premium
26,Logan,Jones,user26_wfrazier@gmail.com,001-789-522-6801x824,1970-07-31,Other,UK,Meghanview,2024-02-06T18:21:07.770147,True,Regular
27,Stephanie,Hill,user27_christina18@hotmail.com,(299)222-9959,1955-03-22,M,AU,Debrashire,2024-10-05T03:14:28.464243,True,Occasional
28,Danielle,Jimenez,user28_dawn47@gmail.com,+1-464-771-0276x7735,2000-06-23,F,DE,Jessicastad,2026-06-09T09:49:09.045073,True,Premium
29,David,Wood,user29_floressteven@yahoo.com,732.510.4696x325,1994-10-09,F,IN,Ferrellmouth,2025-01-03T04:09:51.410443,True,New
30,Kyle,Johnson,user30_pwagner@gmail.com,001-250-304-7974,1975-07-04,F,CA,Jessicafurt,2024-08-10T15:17:59.321566,True,At Risk
31,Richard,Hudson,user31_michaelroberts@yahoo.com,478.549.9121x65585,1985-06-15,Other,US,Porterton,2023-08-18T07:28:46.943797,True,Regular
32,Jennifer,Brock,user32_ghernandez@gmail.com,695-926-9495x88879,1997-10-28,Other,FR,Markville,2026-06-14T08:47:07.636640,True,Regular
33,Brandy,Robles,user33_carlsonjoseph@hotmail.com,001-399-530-9728x962,1951-08-11,Other,US,Robertchester,2025-08-01T06:24:57.895195,True,Premium
34,Robert,Hampton,user34_vsalas@hotmail.com,7284385786,1977-03-03,Other,FR,Amyview,2025-05-05T03:29:36.127389,True,At Risk
35,James,Wright,user35_jeffrey44@hotmail.com,875.875.8441,1997-12-23,M,FR,West Bobby,2026-05-18T10:17:07.039124,True,Premium
36,Christian,Bradshaw,user36_julie33@hotmail.com,584-221-9933x083,1956-04-27,M,CA,Jenniferville,2025-07-22T01:38:02.186078,True,Occasional
37,Derrick,Oconnell,user37_richarddonovan@yahoo.com,434.254.0193x8026,2008-05-07,F,CA,Frenchburgh,2026-04-27T22:23:44.486205,True,Regular
38,Suzanne,Howe,user38_smithashley@gmail.com,947-688-7287x43152,1992-03-10,Other,AU,Lake Matthewport,2025-03-19T19:14:28.358211,True,Regular
39,Katherine,Thompson,user39_gwilcox@yahoo.com,661-822-7530,1964-03-03,M,UK,Stephanieport,2025-04-04T21:16:21.553902,False,At Risk
40,Ashley,Green,user40_heather01@yahoo.com,426-984-1459x3327,1993-11-17,Other,FR,Robertside,2026-04-01T20:12:32.507701,True,New
41,Katherine,Pham,user41_kathleenbecker@hotmail.com,587-485-1910,1960-01-20,M,UK,Wilsonborough,2025-08-30T05:07:45.962181,True,Occasional
42,Tracy,Nolan,user42_dstokes@gmail.com,367.290.8740x64039,1975-02-01,F,CA,New Virginialand,2026-06-21T04:51:35.224262,True,At Risk
43,Thomas,Mitchell,user43_kaylacannon@hotmail.com,+1-865-467-6618x2512,1992-09-22,F,FR,Port Adam,2023-07-31T14:01:32.802399,True,Premium
44,Kenneth,Nunez,user44_opatel@gmail.com,352.343.1069x033,1984-12-16,F,CA,Harperton,2024-03-30T19:59:14.316500,True,Occasional
