supplier_id,supplier_name,contact_name,email,phone,country,city,created_at
1,"Rodriguez, Figueroa and Sanchez",Brian Yang,garzaanthony@robinson.org,2834863794,Qatar,Petersonberg,2023-12-10T22:55:35.095992
2,Garcia-James,Gregory Baker,blairamanda@miller-carter.org,(993)710-3413x164,Central African Republic,Michaelview,2024-11-30T08:07:32.702497
3,"Wong, Lynch and Jackson",Carla Gray,gabriellecameron@perez.com,(541)639-5376x7242,San Marino,Hurstfurt,2024-03-27T02:29:48.414418
4,Hicks Inc,Shannon Hernandez,laurahenderson@cruz.info,648.401.8451x46270,Madagascar,Port Colleenhaven,2024-09-23T12:19:20.388437
5,Brooks and Sons,Paula Moreno,georgetracy@hickman.com,4399117182,Yemen,West Allison,2024-09-21T18:39:44.226410
6,Hickman Ltd,Michelle Ross,samuel87@wright.com,5983393010,United Kingdom,Port Markhaven,2023-12-27T12:43:54.827118
7,"Washington, Ryan and Cummings",Laura Sanchez,maguirre@davis.com,(467)801-0651x33387,Cocos (Keeling) Islands,Stevenland,2024-05-25T08:54:15.870270
8,"Garcia, Pearson and Fernandez",Brandon Molina,gabrieltucker@hancock.com,(206)247-4687x2343,San Marino,Brianshire,2024-06-18T22:58:34.724476
9,"Moore, Yu and Miller",Kurt Leonard,richarddavid@sanchez.biz,+1-799-385-4353x4624,Algeria,Howellshire,2025-07-03T07:14:01.271002
10,Medina PLC,Timothy Ibarra,mikemoore@warner.net,4846124118,Finland,Lake Matthew,2024-11-19T21:01:06.788683
11,Wagner-King,Amber Walters,bradley52@whitney.biz,+1-401-812-8059,Brunei Darussalam,West Michaelton,2025-04-23T07:39:50.877524
12,Fleming Ltd,Richard Henson,vdickson@frost.com,(360)825-6342,Tunisia,Port Thomasborough,2025-02-22T04:09:11.867917
13,Bailey-Hoover,Courtney Keller,emurphy@bell-hicks.net,301-842-9401x96556,United Arab Emirates,West Bradley,2024-05-20T04:53:59.792057
14,"Frost, Ryan and Ball",Megan Diaz,rushsamantha@edwards.com,646.856.4823x66299,Mexico,West Justinchester,2025-01-30T15:41:43.756759
15,"Pena, Marshall and Ramos",John Santana,donnacampbell@schultz.com,+1-543-832-0037x9176,Lithuania,Sancheztown,2025-04-18T17:49:56.947116
16,Osborne and Sons,Tyler Holmes,grantsamantha@bryant.net,+1-495-979-8687,Korea,Karenview,2025-01-16T02:01:36.521106
17,"Washington, Allen and Gonzales",Cynthia Rogers,taylorjesse@hernandez.com,+1-876-903-6690,Albania,Kennethfurt,2025-03-21T02:23:19.331701
18,Medina-Navarro,Stephanie Freeman,ryan06@caldwell-yates.com,929.480.6990x162,Australia,Nicholasborough,2024-06-02T19:43:09.117847
19,Juarez-Gray,Sandra King,ruizkaitlyn@cooke.com,+1-510-903-3092x3271,Reunion,Katieburgh,2024-09-21T06:22:07.486910
20,"Higgins, Strickland and Martin",Kenneth Hickman,tsanders@jones.com,749-319-0586,Madagascar,Alexanderchester,2025-02-26T08:51:35.373611
21,Hamilton LLC,Sandra Zimmerman,hthompson@nelson.info,869.745.3147x379,Antarctica (the territory South of 60 deg S),Rosalesburgh,2024-06-26T19:38:25.006583
22,Salinas-Peterson,Meredith Hill,blackjames@cortez.net,001-937-777-0143x634,Jamaica,Michaelmouth,2024-01-20T13:43:32.328302
23,Hall-Griffith,Patrick Tapia,jamesrodgers@hardy-bray.net,+1-641-234-3524x082,Austria,Heidiberg,2024-10-14T14:58:24.617178
24,Garcia-Smith,John Peterson,kingmichelle@short.info,390-822-9413,New Caledonia,Port Alexandra,2024-05-30T18:21:08.065351
25,Evans-Chapman,Keith Brown,mezajared@baker.com,928.612.0679,Antigua and Barbuda,West Jasmine,2024-12-01T04:35:21.564096
26,Jones-Hall,Rick Lawrence,ronaldstephens@hernandez.com,(849)694-7174,Macao,Kimton,2025-04-16T09:05:02.619518
27,"Morris, Wright and Davis",Sara Johnston,keyemily@johnston-hines.com,787.342.9671x7565,Togo,West Robert,2024-07-02T14:28:26.181500
28,"Landry, Cervantes and Pierce",Ernest Morris,ahancock@booth.net,(397)270-3482x477,Norfolk Island,Lake Eric,2024-08-12T01:11:38.244971
29,"Russell, Walker and Skinner",Travis Holland,tyronemoran@thornton.info,378.626.3982,Sierra Leone,Morganhaven,2024-01-17T20:05:30.389638
30,Campbell LLC,Lauren Keller,seanwashington@arnold-daniels.info,233-496-3605x76627,Macao,Mollymouth,2023-09-17T12:14:47.443511
